GEO.id,GEO.id2,GEO.display-label,HC01_VC01,HC02_VC01,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC32,HC02_VC32,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC40,HC02_VC40,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC48,HC02_VC48,HC01_VC49,HC02_VC49,HC01_VC50,HC02_VC50,HC01_VC51,HC02_VC51,HC01_VC52,HC02_VC52,HC01_VC53,HC02_VC53,HC01_VC55,HC02_VC55,HC01_VC56,HC02_VC56,HC01_VC57,HC02_VC57,HC01_VC58,HC02_VC58,HC01_VC59,HC02_VC59,HC01_VC60,HC02_VC60,HC01_VC61,HC02_VC61,HC01_VC62,HC02_VC62,HC01_VC64,HC02_VC64,HC01_VC65,HC02_VC65,HC01_VC66,HC02_VC66,HC01_VC67,HC02_VC67,HC01_VC68,HC02_VC68,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC71,HC02_VC71,HC01_VC72,HC02_VC72,HC01_VC73,HC02_VC73,HC01_VC74,HC02_VC74,HC01_VC75,HC02_VC75,HC01_VC76,HC02_VC76,HC01_VC78,HC02_VC78,HC01_VC79,HC02_VC79,HC01_VC80,HC02_VC80,HC01_VC81,HC02_VC81,HC01_VC82,HC02_VC82,HC01_VC83,HC02_VC83,HC01_VC84,HC02_VC84,HC01_VC85,HC02_VC85,HC01_VC86,HC02_VC86,HC01_VC87,HC02_VC87,HC01_VC88,HC02_VC88,HC01_VC89,HC02_VC89,HC01_VC90,HC02_VC90,HC01_VC91,HC02_VC91,HC01_VC93,HC02_VC93,HC01_VC94,HC02_VC94,HC01_VC95,HC02_VC95,HC01_VC96,HC02_VC96,HC01_VC97,HC02_VC97,HC01_VC98,HC02_VC98,HC01_VC100,HC02_VC100,HC01_VC101,HC02_VC101,HC01_VC102,HC02_VC102,HC01_VC103,HC02_VC103,HC01_VC104,HC02_VC104
0500000US45001,45001,"Abbeville County, South Carolina",26167,100.0,12544,47.9,13623,52.1,1765,6.7,1812,6.9,1910,7.3,1927,7.4,1705,6.5,3230,12.3,3759,14.4,3699,14.1,1355,5.2,1163,4.4,2058,7.9,1296,5.0,488,1.9,36.9,(X),19546,74.7,9147,35.0,10399,39.7,18351,70.1,4514,17.3,3842,14.7,1544,5.9,2298,8.8,25981,99.3,17881,68.3,7926,30.3,27,0.1,59,0.2,14,0.1,5,0.0,24,0.1,5,0.0,8,0.0,1,0.0,2,0.0,7,0.0,1,0.0,2,0.0,0,0.0,4,0.0,81,0.3,186,0.7,18036,68.9,8018,30.6,97,0.4,73,0.3,9,0.0,136,0.5,26167,100.0,217,0.8,110,0.4,52,0.2,12,0.0,43,0.2,25950,99.2,17797,68.0,26167,100.0,25457,97.3,10131,38.7,5289,20.2,7617,29.1,5663,21.6,1674,6.4,833,3.2,746,2.9,383,1.5,710,2.7,229,0.9,481,1.8,10131,100.0,7288,71.9,3216,31.7,5289,52.2,2150,21.2,1548,15.3,851,8.4,2843,28.1,2560,25.3,1149,11.3,3697,36.5,2745,27.1,2.51,(X),3.00,(X),11656,100.0,10131,86.9,1525,13.1,566,4.9,1.2,(X),10.1,(X),10131,100.0,8156,80.5,1975,19.5,2.56,(X),2.30,(X)
0500000US45003,45003,"Aiken County, South Carolina",142552,100.0,68667,48.2,73885,51.8,9484,6.7,10660,7.5,10750,7.5,10311,7.2,8621,6.0,18243,12.8,22937,16.1,19914,14.0,7520,5.3,5825,4.1,10344,7.3,6161,4.3,1782,1.3,36.4,(X),105204,73.8,49608,34.8,55596,39.0,99461,69.8,21691,15.2,18287,12.8,7567,5.3,10720,7.5,140875,98.8,101745,71.4,36442,25.6,566,0.4,905,0.6,211,0.1,173,0.1,132,0.1,100,0.1,89,0.1,128,0.1,72,0.1,36,0.0,10,0.0,10,0.0,6,0.0,10,0.0,1181,0.8,1677,1.2,103104,72.3,37084,26.0,1274,0.9,1211,0.8,109,0.1,1601,1.1,142552,100.0,3025,2.1,1575,1.1,403,0.3,87,0.1,960,0.7,139527,97.9,100329,70.4,142552,100.0,140479,98.5,55587,39.0,29625,20.8,42828,30.0,33065,23.2,7402,5.2,3544,2.5,5037,3.5,2305,1.6,2073,1.5,1297,0.9,776,0.5,55587,100.0,39434,70.9,18424,33.1,29625,53.3,12742,22.9,7658,13.8,4583,8.2,16153,29.1,13983,25.2,5139,9.2,20557,37.0,12994,23.4,2.53,(X),3.03,(X),61987,100.0,55587,89.7,6400,10.3,494,0.8,2.5,(X),12.1,(X),55587,100.0,42036,75.6,13551,24.4,2.59,(X),2.34,(X)
0500000US45005,45005,"Allendale County, South Carolina",11211,100.0,5837,52.1,5374,47.9,775,6.9,847,7.6,830,7.4,869,7.8,757,6.8,1515,13.5,1644,14.7,1603,14.3,527,4.7,423,3.8,714,6.4,518,4.6,189,1.7,35.1,(X),8232,73.4,4264,38.0,3968,35.4,7736,69.0,1654,14.8,1421,12.7,549,4.9,872,7.8,11154,99.5,3068,27.4,7960,71.0,10,0.1,14,0.1,10,0.1,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,7,0.1,0,0.0,7,0.1,0,0.0,0,0.0,95,0.8,57,0.5,3097,27.6,7988,71.3,36,0.3,31,0.3,14,0.1,115,1.0,11211,100.0,181,1.6,135,1.2,4,0.0,3,0.0,39,0.3,11030,98.4,3030,27.0,11211,100.0,10033,89.5,3915,34.9,1401,12.5,3245,28.9,2288,20.4,1140,10.2,656,5.9,332,3.0,201,1.8,1178,10.5,1164,10.4,14,0.1,3915,100.0,2617,66.8,1186,30.3,1401,35.8,527,13.5,1012,25.8,573,14.6,1298,33.2,1175,30.0,480,12.3,1507,38.5,1068,27.3,2.56,(X),3.21,(X),4568,100.0,3915,85.7,653,14.3,143,3.1,2.7,(X),6.1,(X),3915,100.0,2846,72.7,1069,27.3,2.59,(X),2.50,(X)
0500000US45007,45007,"Anderson County, South Carolina",165740,100.0,80076,48.3,85664,51.7,11057,6.7,11478,6.9,11627,7.0,10697,6.5,9781,5.9,22393,13.5,25760,15.5,23255,14.0,9452,5.7,7613,4.6,12338,7.4,7945,4.8,2344,1.4,37.3,(X),124968,75.4,59270,35.8,65698,39.6,118873,71.7,27085,16.3,22627,13.7,9203,5.6,13424,8.1,164430,99.2,135177,81.6,27491,16.6,362,0.2,703,0.4,190,0.1,117,0.1,76,0.0,60,0.0,117,0.1,67,0.0,76,0.0,27,0.0,6,0.0,15,0.0,2,0.0,4,0.0,670,0.4,1310,0.8,136325,82.3,28045,16.9,811,0.5,963,0.6,90,0.1,953,0.6,165740,100.0,1832,1.1,866,0.5,279,0.2,71,0.0,616,0.4,163908,98.9,134151,80.9,165740,100.0,163064,98.4,65649,39.6,36109,21.8,47192,28.5,35988,21.7,8590,5.2,4025,2.4,5524,3.3,2872,1.7,2676,1.6,1577,1.0,1099,0.7,65649,100.0,47276,72.0,20749,31.6,36109,55.0,14618,22.3,8377,12.8,4658,7.1,18373,28.0,15973,24.3,6314,9.6,23195,35.3,16001,24.4,2.48,(X),2.94,(X),73213,100.0,65649,89.7,7564,10.3,1591,2.2,2.0,(X),12.1,(X),65649,100.0,50068,76.3,15581,23.7,2.54,(X),2.29,(X)
0500000US45009,45009,"Bamberg County, South Carolina",16658,100.0,7831,47.0,8827,53.0,1039,6.2,1162,7.0,1233,7.4,1579,9.5,1369,8.2,1912,11.5,2186,13.1,2300,13.8,864,5.2,700,4.2,1222,7.3,852,5.1,240,1.4,35.2,(X),12423,74.6,5672,34.0,6751,40.5,11277,67.7,2735,16.4,2314,13.9,880,5.3,1434,8.6,16569,99.5,6075,36.5,10411,62.5,27,0.2,32,0.2,18,0.1,11,0.1,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,23,0.1,89,0.5,6130,36.8,10464,62.8,71,0.4,43,0.3,11,0.1,40,0.2,16658,100.0,118,0.7,78,0.5,13,0.1,10,0.1,17,0.1,16540,99.3,6040,36.3,16658,100.0,15593,93.6,6123,36.8,2670,16.0,4950,29.7,3443,20.7,1310,7.9,662,4.0,540,3.2,290,1.7,1065,6.4,131,0.8,934,5.6,6123,100.0,4253,69.5,1906,31.1,2670,43.6,1096,17.9,1306,21.3,706,11.5,1870,30.5,1701,27.8,710,11.6,2285,37.3,1696,27.7,2.55,(X),3.10,(X),7130,100.0,6123,85.9,1007,14.1,220,3.1,1.8,(X),7.0,(X),6123,100.0,4571,74.7,1552,25.3,2.61,(X),2.36,(X)
0500000US45011,45011,"Barnwell County, South Carolina",23478,100.0,11293,48.1,12185,51.9,1674,7.1,1770,7.5,2001,8.5,1799,7.7,1406,6.0,2923,12.4,3629,15.5,3258,13.9,1178,5.0,878,3.7,1626,6.9,1035,4.4,301,1.3,35.5,(X),16869,71.9,7822,33.3,9047,38.5,15940,67.9,3471,14.8,2962,12.6,1138,4.8,1824,7.8,23308,99.3,12956,55.2,9990,42.6,81,0.3,91,0.4,39,0.2,19,0.1,9,0.0,4,0.0,3,0.0,8,0.0,9,0.0,8,0.0,4,0.0,3,0.0,1,0.0,0,0.0,182,0.8,170,0.7,13092,55.8,10089,43.0,157,0.7,125,0.5,20,0.1,207,0.9,23478,100.0,327,1.4,222,0.9,39,0.2,1,0.0,65,0.3,23151,98.6,12857,54.8,23478,100.0,23201,98.8,9021,38.4,4273,18.2,7611,32.4,5747,24.5,1481,6.3,736,3.1,815,3.5,408,1.7,277,1.2,232,1.0,45,0.2,9021,100.0,6433,71.3,3143,34.8,4273,47.4,1880,20.8,1745,19.3,1061,11.8,2588,28.7,2308,25.6,917,10.2,3565,39.5,2163,24.0,2.57,(X),3.08,(X),10191,100.0,9021,88.5,1170,11.5,153,1.5,1.5,(X),10.5,(X),9021,100.0,6810,75.5,2211,24.5,2.61,(X),2.45,(X)
0500000US45013,45013,"Beaufort County, South Carolina",120937,100.0,61193,50.6,59744,49.4,8110,6.7,8033,6.6,7747,6.4,8722,7.2,10002,8.3,16434,13.6,16433,13.6,14019,11.6,6397,5.3,6286,5.2,11329,9.4,5913,4.9,1512,1.3,35.8,(X),92794,76.7,46859,38.7,45935,38.0,86012,71.1,22575,18.7,18754,15.5,8791,7.3,9963,8.2,119231,98.6,85451,70.7,29005,24.0,321,0.3,953,0.8,128,0.1,105,0.1,306,0.3,145,0.1,91,0.1,65,0.1,113,0.1,63,0.1,20,0.0,13,0.0,11,0.0,19,0.0,3438,2.8,1706,1.4,86782,71.8,29676,24.5,707,0.6,1351,1.1,200,0.2,4093,3.4,120937,100.0,8208,6.8,4500,3.7,976,0.8,166,0.1,2566,2.1,112729,93.2,81477,67.4,120937,100.0,114328,94.5,45532,37.6,26485,21.9,30472,25.2,25051,20.7,5696,4.7,2511,2.1,6143,5.1,2070,1.7,6609,5.5,618,0.5,5991,5.0,45532,100.0,33060,72.6,13830,30.4,26485,58.2,9820,21.6,4998,11.0,3181,7.0,12472,27.4,9796,21.5,3774,8.3,15198,33.4,12670,27.8,2.51,(X),2.90,(X),60509,100.0,45532,75.2,14977,24.8,9613,15.9,1.6,(X),19.2,(X),45532,100.0,33338,73.2,12194,26.8,2.44,(X),2.71,(X)
0500000US45015,45015,"Berkeley County, South Carolina",142651,100.0,72462,50.8,70189,49.2,10242,7.2,11063,7.8,11821,8.3,12725,8.9,10780,7.6,20935,14.7,23599,16.5,18461,12.9,6745,4.7,5019,3.5,6973,4.9,3409,2.4,879,0.6,32.0,(X),102726,72.0,51916,36.4,50810,35.6,94173,66.0,14091,9.9,11261,7.9,4888,3.4,6373,4.5,140233,98.3,96997,68.0,37985,26.6,748,0.5,2671,1.9,135,0.1,183,0.1,1838,1.3,133,0.1,125,0.1,126,0.1,131,0.1,114,0.1,42,0.0,20,0.0,20,0.0,32,0.0,1718,1.2,2418,1.7,98979,69.4,38761,27.2,1489,1.0,3453,2.4,269,0.2,2285,1.6,142651,100.0,3935,2.8,1837,1.3,789,0.6,125,0.1,1184,0.8,138716,97.2,95314,66.8,142651,100.0,137209,96.2,49922,35.0,28305,19.8,44985,31.5,35114,24.6,7792,5.5,3950,2.8,6205,4.3,2517,1.8,5442,3.8,2412,1.7,3030,2.1,49922,100.0,37696,75.5,19558,39.2,28305,56.7,13831,27.7,7110,14.2,4409,8.8,12226,24.5,9697,19.4,2787,5.6,21878,43.8,8414,16.9,2.75,(X),3.15,(X),54717,100.0,49922,91.2,4795,8.8,1292,2.4,1.1,(X),8.6,(X),49922,100.0,37052,74.2,12870,25.8,2.77,(X),2.69,(X)
0500000US45017,45017,"Calhoun County, South Carolina",15185,100.0,7196,47.4,7989,52.6,958,6.3,1060,7.0,1113,7.3,1031,6.8,760,5.0,1804,11.9,2297,15.1,2394,15.8,964,6.3,702,4.6,1153,7.6,707,4.7,242,1.6,38.9,(X),11381,74.9,5276,34.7,6105,40.2,10861,71.5,2510,16.5,2102,13.8,854,5.6,1248,8.2,15080,99.3,7597,50.0,7393,48.7,29,0.2,21,0.1,3,0.0,0,0.0,10,0.1,1,0.0,4,0.0,1,0.0,2,0.0,4,0.0,0,0.0,1,0.0,1,0.0,2,0.0,36,0.2,105,0.7,7691,50.6,7426,48.9,59,0.4,41,0.3,9,0.1,71,0.5,15185,100.0,212,1.4,134,0.9,10,0.1,15,0.1,53,0.3,14973,98.6,7521,49.5,15185,100.0,15024,98.9,5917,39.0,3079,20.3,4434,29.2,3164,20.8,1149,7.6,605,4.0,445,2.9,271,1.8,161,1.1,121,0.8,40,0.3,5917,100.0,4270,72.2,1788,30.2,3079,52.0,1210,20.4,934,15.8,455,7.7,1647,27.8,1447,24.5,567,9.6,2097,35.4,1522,25.7,2.54,(X),3.03,(X),6864,100.0,5917,86.2,947,13.8,353,5.1,1.4,(X),6.1,(X),5917,100.0,4991,84.4,926,15.6,2.57,(X),2.37,(X)
0500000US45019,45019,"Charleston County, South Carolina",309969,100.0,149787,48.3,160182,51.7,19806,6.4,20523,6.6,21214,6.8,23042,7.4,26258,8.5,46337,14.9,47711,15.4,41335,13.3,15009,4.8,11876,3.8,20030,6.5,12973,4.2,3855,1.2,34.5,(X),236395,76.3,112325,36.2,124070,40.0,219840,70.9,43707,14.1,36858,11.9,14966,4.8,21892,7.1,306365,98.8,191928,61.9,106918,34.5,813,0.3,3463,1.1,632,0.2,725,0.2,956,0.3,258,0.1,275,0.1,332,0.1,285,0.1,172,0.1,31,0.0,53,0.0,31,0.0,57,0.0,3071,1.0,3604,1.2,194662,62.8,108381,35.0,1892,0.6,4412,1.4,363,0.1,4162,1.3,309969,100.0,7434,2.4,4182,1.3,957,0.3,268,0.1,2027,0.7,302535,97.6,188542,60.8,309969,100.0,298571,96.3,123326,39.8,53230,17.2,83597,27.0,63272,20.4,18872,6.1,8933,2.9,19546,6.3,6234,2.0,11398,3.7,3306,1.1,8092,2.6,123326,100.0,77416,62.8,35350,28.7,53230,43.2,22070,17.9,19556,15.9,11305,9.2,45910,37.2,34916,28.3,10016,8.1,40272,32.7,26424,21.4,2.42,(X),3.01,(X),141031,100.0,123326,87.4,17705,12.6,5866,4.2,1.5,(X),10.9,(X),123326,100.0,75267,61.0,48059,39.0,2.53,(X),2.25,(X)
0500000US45021,45021,"Cherokee County, South Carolina",52537,100.0,25423,48.4,27114,51.6,3758,7.2,3865,7.4,3808,7.2,3604,6.9,3281,6.2,7691,14.6,7845,14.9,7246,13.8,2767,5.3,2155,4.1,3570,6.8,2226,4.2,721,1.4,35.3,(X),38967,74.2,18531,35.3,20436,38.9,36832,70.1,7744,14.7,6517,12.4,2501,4.8,4016,7.6,52097,99.2,40409,76.9,10801,20.6,103,0.2,163,0.3,55,0.1,38,0.1,10,0.0,15,0.0,10,0.0,1,0.0,34,0.1,11,0.0,1,0.0,2,0.0,6,0.0,2,0.0,610,1.2,440,0.8,40787,77.6,10947,20.8,279,0.5,244,0.5,33,0.1,714,1.4,52537,100.0,1092,2.1,780,1.5,89,0.2,5,0.0,218,0.4,51445,97.9,40013,76.2,52537,100.0,51808,98.6,20495,39.0,10506,20.0,15566,29.6,11690,22.3,3336,6.3,1604,3.1,1905,3.6,970,1.8,729,1.4,364,0.7,365,0.7,20495,100.0,14614,71.3,6711,32.7,10506,51.3,4441,21.7,3159,15.4,1815,8.9,5881,28.7,5130,25.0,1923,9.4,7731,37.7,4751,23.2,2.53,(X),3.01,(X),22400,100.0,20495,91.5,1905,8.5,80,0.4,1.8,(X),9.8,(X),20495,100.0,15146,73.9,5349,26.1,2.58,(X),2.37,(X)
0500000US45023,45023,"Chester County, South Carolina",34068,100.0,16369,48.0,17699,52.0,2294,6.7,2585,7.6,2745,8.1,2473,7.3,1941,5.7,4473,13.1,5148,15.1,4769,14.0,1889,5.5,1434,4.2,2363,6.9,1508,4.4,446,1.3,36.0,(X),24901,73.1,11627,34.1,13274,39.0,23578,69.2,5145,15.1,4317,12.7,1692,5.0,2625,7.7,33879,99.4,20416,59.9,13168,38.7,112,0.3,96,0.3,39,0.1,18,0.1,2,0.0,4,0.0,6,0.0,16,0.0,11,0.0,2,0.0,0,0.0,0,0.0,2,0.0,0,0.0,85,0.2,189,0.6,20563,60.4,13268,38.9,199,0.6,128,0.4,4,0.0,106,0.3,34068,100.0,255,0.7,126,0.4,32,0.1,8,0.0,89,0.3,33813,99.3,20304,59.6,34068,100.0,33752,99.1,12880,37.8,6285,18.4,10735,31.5,7640,22.4,2666,7.8,1329,3.9,1186,3.5,660,1.9,316,0.9,291,0.9,25,0.1,12880,100.0,9343,72.5,4241,32.9,6285,48.8,2581,20.0,2402,18.6,1355,10.5,3537,27.5,3120,24.2,1271,9.9,4991,38.8,3200,24.8,2.62,(X),3.11,(X),14374,100.0,12880,89.6,1494,10.4,206,1.4,1.5,(X),9.2,(X),12880,100.0,10093,78.4,2787,21.6,2.64,(X),2.54,(X)
0500000US45025,45025,"Chesterfield County, South Carolina",42768,100.0,20631,48.2,22137,51.8,2893,6.8,3291,7.7,3314,7.7,2999,7.0,2538,5.9,5858,13.7,6527,15.3,6108,14.3,2307,5.4,1813,4.2,2917,6.8,1687,3.9,516,1.2,35.7,(X),31377,73.4,14863,34.8,16514,38.6,29739,69.5,6177,14.4,5120,12.0,2005,4.7,3115,7.3,42446,99.2,27515,64.3,14206,33.2,145,0.3,128,0.3,57,0.1,15,0.0,28,0.1,5,0.0,7,0.0,3,0.0,13,0.0,9,0.0,5,0.0,1,0.0,0,0.0,3,0.0,443,1.0,322,0.8,27785,65.0,14363,33.6,278,0.7,180,0.4,36,0.1,530,1.2,42768,100.0,971,2.3,578,1.4,42,0.1,213,0.5,138,0.3,41797,97.7,27172,63.5,42768,100.0,42109,98.5,16557,38.7,8213,19.2,12976,30.3,9630,22.5,2849,6.7,1487,3.5,1514,3.5,777,1.8,659,1.5,466,1.1,193,0.5,16557,100.0,11703,70.7,5532,33.4,8213,49.6,3607,21.8,2698,16.3,1548,9.3,4854,29.3,4283,25.9,1656,10.0,6358,38.4,3842,23.2,2.54,(X),3.05,(X),18818,100.0,16557,88.0,2261,12.0,248,1.3,1.8,(X),13.3,(X),16557,100.0,12629,76.3,3928,23.7,2.57,(X),2.45,(X)
0500000US45027,45027,"Clarendon County, South Carolina",32502,100.0,15957,49.1,16545,50.9,1972,6.1,2248,6.9,2576,7.9,2659,8.2,2305,7.1,3632,11.2,4540,14.0,4545,14.0,1828,5.6,1659,5.1,2669,8.2,1436,4.4,433,1.3,37.0,(X),24139,74.3,11711,36.0,12428,38.2,22529,69.3,5514,17.0,4538,14.0,1896,5.8,2642,8.1,32333,99.5,14602,44.9,17273,53.1,78,0.2,84,0.3,39,0.1,15,0.0,13,0.0,4,0.0,7,0.0,0,0.0,6,0.0,10,0.0,1,0.0,7,0.0,0,0.0,2,0.0,286,0.9,169,0.5,14705,45.2,17371,53.4,145,0.4,140,0.4,32,0.1,312,1.0,32502,100.0,560,1.7,392,1.2,34,0.1,10,0.0,124,0.4,31942,98.3,14449,44.5,32502,100.0,30976,95.3,11812,36.3,5730,17.6,9720,29.9,6697,20.6,2818,8.7,1446,4.4,896,2.8,424,1.3,1526,4.7,1406,4.3,120,0.4,11812,100.0,8598,72.8,3706,31.4,5730,48.5,2248,19.0,2338,19.8,1257,10.6,3214,27.2,2905,24.6,1221,10.3,4456,37.7,3371,28.5,2.62,(X),3.12,(X),15303,100.0,11812,77.2,3491,22.8,2128,13.9,2.1,(X),8.0,(X),11812,100.0,9348,79.1,2464,20.9,2.66,(X),2.49,(X)
0500000US45029,45029,"Colleton County, South Carolina",38264,100.0,18327,47.9,19937,52.1,2649,6.9,2957,7.7,3053,8.0,2889,7.6,2045,5.3,4682,12.2,5617,14.7,5478,14.3,2183,5.7,1783,4.7,2794,7.3,1641,4.3,493,1.3,36.5,(X),27749,72.5,12981,33.9,14768,38.6,26269,68.7,5987,15.6,4928,12.9,2059,5.4,2869,7.5,37952,99.2,21245,55.5,16140,42.2,242,0.6,97,0.3,28,0.1,9,0.0,22,0.1,14,0.0,3,0.0,13,0.0,8,0.0,15,0.0,4,0.0,5,0.0,2,0.0,4,0.0,213,0.6,312,0.8,21478,56.1,16280,42.5,371,1.0,145,0.4,38,0.1,292,0.8,38264,100.0,551,1.4,348,0.9,81,0.2,15,0.0,107,0.3,37713,98.6,21081,55.1,38264,100.0,37931,99.1,14470,37.8,7390,19.3,11861,31.0,8682,22.7,2878,7.5,1622,4.2,1332,3.5,666,1.7,333,0.9,198,0.5,135,0.4,14470,100.0,10494,72.5,4791,33.1,7390,51.1,3128,21.6,2432,16.8,1343,9.3,3976,27.5,3476,24.0,1460,10.1,5659,39.1,3727,25.8,2.62,(X),3.11,(X),18129,100.0,14470,79.8,3659,20.2,1907,10.5,1.6,(X),10.1,(X),14470,100.0,11620,80.3,2850,19.7,2.65,(X),2.49,(X)
